,altitude,longitude,latitude,srf_salt,srf_crust,bare_soil,crop_type
0,387,6.094781,7.4236516,No,No,Yes,Roots and tubers
2,370,6.0998917,7.4185117,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
3,362,6.0960475,7.4171368,No,No,No,Roots and tubers
5,178,6.4268399,7.3468808,No,No,No,Fodder plants
7,128,5.6099253,6.6154641,No,No,No,Oilcrops
8,119,5.6061437,6.6204588,No,No,No,Oilcrops
9,125,5.601313,6.6225728,No,No,No,Oilcrops
12,170,5.9470729,6.4343268,No,No,No,Roots and tubers
13,173,5.949586,6.4389146,No,No,No,Roots and tubers
18,198,6.20091,6.3613384,No,No,No,Roots and tubers
19,353,7.3105178,6.8599055,No,Yes,No,Roots and tubers
21,404,7.322266,6.8653685,No,No,No,Roots and tubers
22,329,7.4505065,6.1453315,No,No,No,Roots and tubers
23,330,7.450675,6.1459783,No,No,Yes,Roots and tubers
24,239,7.4597433,6.1546767,No,No,Yes,Roots and tubers
25,328,7.4557932,6.1479182,No,No,Yes,Roots and tubers
26,71,7.7036615,6.344336,No,No,Yes,Roots and tubers
27,73,7.7054635,6.3469249,No,No,Yes,Roots and tubers
28,87,7.7049733,6.3561017,No,No,Yes,Roots and tubers
29,69,7.6979985,6.3388932,No,No,Yes,Roots and tubers
32,148,7.5921101,6.5689833,No,No,No,Cereals
34,41,8.356725,6.53911,No,No,No,Roots and tubers
35,35,8.3649933,6.53954,No,No,Yes,Roots and tubers
36,44,8.3691801,6.5403865,No,No,No,Roots and tubers
37,38,8.3692114,6.5365113,No,No,No,Roots and tubers
38,65,7.9805367,6.2012783,No,No,Yes,Roots and tubers
39,59,7.9787583,6.19578,No,No,Yes,Roots and tubers
40,65,7.9711283,6.198075,No,No,Yes,Roots and tubers
41,63,7.97097,6.2003017,No,No,Yes,Roots and tubers
43,200,7.6384156,5.723172,No,No,No,Roots and tubers
47,75,7.2877673,5.2300907,No,No,No,Vegetables
48,75,7.3002117,5.2275233,No,No,Yes,Roots and tubers
49,74,7.3036414,5.2305554,No,No,No,Roots and tubers
50,220,-2.4380683,6.8743673,No,No,No,Cereals
51,225,-2.4415071,6.8737356,No,No,No,Roots and tubers
52,237,-2.4423133,6.8727977,No,No,No,Roots and tubers
53,278,-2.4364375,6.8650895,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
54,326,-2.8883592,7.1759775,No,No,No,Cereals
55,326,-2.88494,7.1752861,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
56,302,-2.8886862,7.1716008,No,No,Yes,Cereals
57,297,-2.897968,7.1769783,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
58,176,-2.9394251,6.505516,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
59,199,-2.9357153,6.5090958,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
60,201,-2.9356887,6.5102905,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
61,188,-2.9367762,6.5013833,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
62,176,-2.3687767,6.1934402,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
63,227,-2.3772793,6.1867543,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
64,195,-2.3713713,6.1838967,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
66,128,-2.358064,5.8412862,No,No,Yes,Fodder plants
67,146,-2.352873,5.8453536,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
68,146,-2.3522381,5.8480695,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
69,155,-2.3588513,5.8482645,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
75,82,-2.6751763,5.3848455,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
76,38,-2.6640968,5.3743729,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
77,82,-2.674274,5.3708062,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
78,82,-1.9529591,5.0635083,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
79,104,-1.9537245,5.0707382,No,No,No,Roots and tubers
80,86,-1.944176,5.0725988,No,No,No,Oilcrops
81,86,-1.943421,5.0721961,No,No,Yes,Oilcrops
82,131,-1.9886366,5.5197983,No,No,No,Roots and tubers
83,139,-1.9868702,5.5140073,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
84,143,-2.001413,5.5225641,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
85,133,-1.9974648,5.5126003,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
86,110,-1.5805655,5.763754,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
87,101,-1.575708,5.779901,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
88,112,-1.5710384,5.7786066,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
90,138,-1.0602432,5.6713193,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
91,156,-1.0671382,5.6641403,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
92,131,-1.0538397,5.6590794,No,No,No,Fruits
94,112,-0.841777,5.4087084,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
95,104,-0.8425521,5.4061105,No,No,Yes,Cereals
96,71,-0.85665,5.4182933,No,No,No,Fruits
97,68,-0.8518026,5.4139628,No,No,No,Roots and tubers
99,103,-1.1381611,5.2786237,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
100,91,-1.1250368,5.2929153,No,No,Yes,Roots and tubers
102,160,-1.7561624,6.0414118,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
103,160,-1.7552216,6.0359608,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
104,294,-1.6243833,6.2675592,No,No,No,Roots and tubers
108,205,-1.9926665,6.6208219,No,No,No,Roots and tubers
109,149,-0.7865774,9.4870941,No,No,No,Cereals
110,146,-0.7866095,9.4836293,No,No,Yes,Cereals
111,173,-0.7932357,9.4841078,No,No,Yes,Cereals
112,169,-0.7919814,9.500284,No,No,Yes,Cereals
113,164,-0.9347398,9.6722508,No,No,Yes,Cereals
114,148,-0.943253,9.6694154,No,No,Yes,Cereals
115,140,-0.9429135,9.6665003,No,No,Yes,Cereals
116,148,-0.9377638,9.6752362,No,No,Yes,Cereals
117,243,-1.3257312,6.6528141,No,No,No,Cereals
118,245,-1.3249713,6.6610238,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
119,249,-1.3280136,6.6538094,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
120,261,-1.3269111,6.647193,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
122,263,-1.001844,6.6379803,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
123,270,-0.9942284,6.6337811,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
124,245,-0.9884701,6.6385094,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
127,30,0.1937191,5.7756798,No,No,Yes,Vegetables
128,55,0.2032879,5.7771823,No,No,No,Vegetables
129,53,0.2450793,6.1230762,No,No,No,Cereals
134,184,0.3632928,7.1076632,No,No,No,Roots and tubers
135,187,0.3714151,7.105721,No,No,No,Cereals
140,70,0.6347889,6.1894284,No,No,No,Roots and tubers
144,68,0.8755064,6.1546907,No,No,Yes,Roots and tubers
145,66,0.8837049,6.1580084,No,No,No,Roots and tubers
146,75,0.8836338,6.1509836,No,No,No,Roots and tubers
147,74,0.8880955,6.1416695,No,No,No,Roots and tubers
148,162,0.0605058,6.3408487,No,No,No,Cereals
149,236,0.0583214,6.3519645,No,No,No,Fruits
150,213,0.0575768,6.3547061,No,No,No,Cereals
151,308,-0.2269599,6.1304155,No,No,No,Vegetables
152,305,-0.2278399,6.130187,No,No,No,Cereals
153,406,-0.2233197,6.1368053,No,No,No,Cereals
154,408,-0.2244097,6.1366645,No,No,No,Roots and tubers
155,330,-1.222831,6.9217852,No,No,No,Roots and tubers
156,293,-1.2229293,6.9185163,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
157,289,-1.2215857,6.9178436,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
158,337,-1.2215495,6.9221288,No,No,No,Cereals
159,298,-2.2699216,10.0283209,No,No,No,Roots and tubers
160,309,-2.2608404,10.0228522,No,No,Yes,Roots and tubers
162,300,-2.2749209,10.0360365,No,No,No,Cereals
164,289,-2.651801,10.1051436,No,No,No,Roots and tubers
165,285,-1.7879026,10.370031,No,No,No,Cereals
